Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.82907833,-47.97448167",07/29/2020 00:45:19,16.7,16.7,16.7,12,74.09,,4.6,,188,,0,,,1,0,1020.3,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167",,,Clear
"-15.82907833,-47.97448167",07/29/2020 01:45:19,14,14,14,11,82.13,,3.6,,200,,0,,,1,0,,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167",,,Clear
"-15.82907833,-47.97448167",07/29/2020 02:45:19,15.8,15.8,15.8,12.5,80.56,,5.1,,203,,0,,,1,0,1019.7,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167",,,Clear
"-15.82907833,-47.97448167",07/29/2020 03:45:19,15.1,15.1,15.1,11.6,79.62,,7.7,,193,,0,,,1,0,1019.3,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167",,,Clear
"-15.82907833,-47.97448167",07/29/2020 04:45:19,15,15,15,11.1,77.78,,4.4,,204,,0,,,1,0,1019.8,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167",,,Clear
"-15.82907833,-47.97448167",07/29/2020 05:45:19,14.8,14.8,14.8,11.3,79.41,,5.6,,185,,0,,,1,0,1020.5,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167",,,Clear
"-15.82907833,-47.97448167",07/29/2020 06:45:19,15.5,15.5,15.5,11.8,78.84,,7.4,,186,,0,,,1,0,1021.2,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167",,,Clear
"-15.82907833,-47.97448167",07/29/2020 07:45:19,19.4,19.4,19.4,11.6,60.84,,3.5,,66,,0,,,1,0,1020.2,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167",,,Clear
"-15.82907833,-47.97448167",07/29/2020 08:45:19,21.7,21.7,21.7,10.8,49.84,,4,,53,,0,,,1,0,1020.6,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167",,,Clear
"-15.82907833,-47.97448167",07/29/2020 09:45:19,23.7,23.7,23.7,10,41.91,,13.4,,46,,0,,,1,0,1019.8,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167",,,Clear
