Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.7933855,-47.89825867",06/21/2015 03:26:00,15.1,15.1,15.1,11.1,77.01,,9.4,,160,,,,,,0,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Clear
"-15.7933855,-47.89825867",06/21/2015 04:26:00,14.1,14.1,14.1,11.1,82.14,,5.4,,200,,,,,,0,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Clear
"-15.7933855,-47.89825867",06/21/2015 05:26:00,14.1,14.1,14.1,12.1,87.75,,7.6,,180,,,,,1,90,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Overcast
"-15.7933855,-47.89825867",06/21/2015 06:26:00,14.1,14.1,14.1,12.1,87.75,,5.4,,170,,,,,1,90,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Overcast
"-15.7933855,-47.89825867",06/21/2015 07:26:00,15.1,15.1,15.1,12.1,82.27,,7.6,,90,,,,,1,90,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Overcast
"-15.7933855,-47.89825867",06/21/2015 08:26:00,15.1,15.1,15.1,13.1,87.84,,11.2,,100,,,,,1,90,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Overcast
"-15.7933855,-47.89825867",06/21/2015 09:26:00,16.1,16.1,16.1,13.1,82.39,,16.6,,90,,,,,1,90,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Overcast
"-15.7933855,-47.89825867",06/21/2015 10:26:00,17.1,17.1,17.1,13.1,77.32,,14.8,,90,,,,,1,90,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Overcast
"-15.7933855,-47.89825867",06/21/2015 11:26:00,17.1,17.1,17.1,13.1,77.32,,16.6,,90,,,,,1,90,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Overcast
"-15.7933855,-47.89825867",06/21/2015 12:26:00,18.1,18.1,18.1,12.1,67.98,,13,,100,,,,,1,90,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Overcast
"-15.7933855,-47.89825867",06/21/2015 13:26:00,19.1,19.1,19.1,11.1,59.77,,13,,130,,,,,1,90,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Overcast
"-15.7933855,-47.89825867",06/21/2015 14:26:00,20.1,20.1,20.1,12.1,60.01,,13,,120,,,,,1,50,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Partially cloudy
"-15.7933855,-47.89825867",06/21/2015 15:26:00,20.1,20.1,20.1,12.1,60.01,,11.2,,100,,,,,1,30,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Partially cloudy
"-15.7933855,-47.89825867",06/21/2015 16:26:00,19.1,19.1,19.1,12.1,63.86,,14.8,,120,,,,,1,30,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Partially cloudy
"-15.7933855,-47.89825867",06/21/2015 17:26:00,19.1,19.1,19.1,12.1,63.86,,7.6,,140,,,,,,0,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Clear
"-15.7933855,-47.89825867",06/21/2015 18:26:00,18.1,18.1,18.1,12.1,67.98,,9.4,,160,,,,,,0,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Clear
"-15.7933855,-47.89825867",06/21/2015 19:26:00,17.1,17.1,17.1,12.1,72.41,,11.2,,190,,,,,,0,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Clear
"-15.7933855,-47.89825867",06/21/2015 20:26:00,17.1,17.1,17.1,12.1,72.41,,9.4,,180,,,,,,0,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Clear
"-15.7933855,-47.89825867",06/21/2015 21:26:00,17.1,17.1,17.1,12.1,72.41,,11.2,,160,,,,,,0,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Clear
"-15.7933855,-47.89825867",06/21/2015 22:26:00,16.1,16.1,16.1,13.1,82.39,,0,,,,,,,,0,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Clear
"-15.7933855,-47.89825867",06/21/2015 23:26:00,15.1,15.1,15.1,13.1,87.84,,0,,,,,,,,0,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Clear
"-15.7933855,-47.89825867",06/22/2015 00:26:00,14.1,14.1,14.1,12.1,87.75,,0,,,,,,,,0,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Clear
"-15.7933855,-47.89825867",06/22/2015 01:26:00,12.1,12.1,12.1,10.1,87.57,,0,,,,,,,,0,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Clear
"-15.7933855,-47.89825867",06/22/2015 02:26:00,12.1,12.1,12.1,11.1,93.6,,0,,,,,,,,0,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,Clear
"-15.7933855,-47.89825867",06/22/2015 03:26:00,,,,,,,,,,,,,,,,,,-15.7933855,-47.89825867,"-15.7933855,-47.89825867",,,
