Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.79263901,-47.89800993",11/30/2016 06:23:44,20.1,20.1,20.1,19.1,93.93,,3.6,,334,,,,,1,82.4,1013.1,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Overcast
"-15.79263901,-47.89800993",11/30/2016 07:23:44,21.1,21.1,21.1,18.3,84.43,,6.9,,120,,,,,1,5.8,1013.8,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Clear
"-15.79263901,-47.89800993",11/30/2016 08:23:44,22.6,22.6,22.6,18.7,78.55,,6.4,,112,,,,,1,5.8,1013.4,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Clear
"-15.79263901,-47.89800993",11/30/2016 09:23:44,25.1,25.1,25.1,20.1,73.81,,9.4,,50,,,,,1,30,,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Partially cloudy
"-15.79263901,-47.89800993",11/30/2016 10:23:44,27.1,27.1,27.1,20.9,68.93,28.9,14.5,,52,,,,,1,82.4,1011.3,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Overcast
"-15.79263901,-47.89800993",11/30/2016 11:23:44,28.1,28.1,28.1,20.1,61.85,29.7,16.6,,30,,,,,1,90,,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Overcast
"-15.79263901,-47.89800993",11/30/2016 12:23:44,28.1,28.1,28.1,19.1,58.12,29.3,24.1,,40,,,,,1,90,,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Overcast
"-15.79263901,-47.89800993",11/30/2016 13:23:44,28.1,28.1,28.1,18.4,55.63,29.1,14.4,,19,,,,,,0,1009,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Clear
"-15.79263901,-47.89800993",11/30/2016 14:23:44,27.1,27.1,27.1,17.4,55.13,27.9,15.8,,24,,,,,,0,1008.7,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Clear
"-15.79263901,-47.89800993",11/30/2016 15:23:44,28.3,28.3,28.3,14.8,43.8,28.3,13.4,,354,,,,,1,9.6,1007.3,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Clear
"-15.79263901,-47.89800993",11/30/2016 16:23:44,27.7,27.7,27.7,13.9,42.74,27.5,13,,360,,,,,,0,1007.3,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Clear
"-15.79263901,-47.89800993",11/30/2016 17:23:44,27.1,27.1,27.1,16.3,51.76,27.6,9.8,,62,,,,,1,9.6,1007.5,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Clear
"-15.79263901,-47.89800993",11/30/2016 18:23:44,25.6,25.6,25.6,18.5,64.54,,5.3,,182,,,,,1,9.6,1008.8,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Clear
"-15.79263901,-47.89800993",11/30/2016 19:23:44,24.1,24.1,24.1,17.5,66.8,,7.4,,137,,,,,1,17.3,1010.5,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Clear
"-15.79263901,-47.89800993",11/30/2016 20:23:44,22.7,22.7,22.7,19.6,82.67,,7.6,,193,,,,,,0,1011.4,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Clear
"-15.79263901,-47.89800993",11/30/2016 21:23:44,21.6,21.6,21.6,17.9,79.48,,6.8,,158,,,,,,0,1013.1,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Clear
"-15.79263901,-47.89800993",11/30/2016 22:23:44,21.1,21.1,21.1,16.9,76.94,,3.6,,186,,,,,,0,1014.2,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Clear
"-15.79263901,-47.89800993",11/30/2016 23:23:44,21.1,21.1,21.1,16.4,74.54,,12.2,,142,,,,,,0,1014.5,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Clear
"-15.79263901,-47.89800993",12/01/2016 00:23:44,20.1,20.1,20.1,17.1,82.88,,11.2,,160,,,,,1,90,,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Overcast
"-15.79263901,-47.89800993",12/01/2016 01:23:44,20.1,20.1,20.1,19.1,93.98,,9.4,,210,,,,,1,90,,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Overcast
"-15.79263901,-47.89800993",12/01/2016 02:23:44,19.1,19.1,19.1,17.7,91.58,,10.7,,114,,,,,1,17.3,1015.3,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Clear
"-15.79263901,-47.89800993",12/01/2016 03:23:44,19.1,19.1,19.1,17.1,88.19,,0,,,,,,,1,90,,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Overcast
"-15.79263901,-47.89800993",12/01/2016 04:23:44,19.1,19.1,19.1,18.1,93.93,,3.6,,350,,,,,1,90,,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Overcast
"-15.79263901,-47.89800993",12/01/2016 05:23:44,20.1,20.1,20.1,18,87.95,,7.5,,328,,,,,1,82.4,1015.1,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Overcast
"-15.79263901,-47.89800993",12/01/2016 06:23:44,19.1,19.1,19.1,16.6,85.55,,5,,23,,,,,,0,1016.1,,-15.79263901,-47.89800993,"-15.79263901,-47.89800993",,,Clear
