Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.82993167,-47.981345",03/27/2021 06:40:40,15.2,15.2,15.2,13.3,88.42,,3.8,,347.0,,0.0,,,10.0,0.0,1019.0,,-15.82993167,-47.981345,"-15.82993167,-47.981345","-15.82993167,-47.981345",,Clear
"-15.82993167,-47.981345",03/27/2021 07:40:40,20.0,20.0,20.0,14.0,68.15,,3.5,,39.0,,0.0,,,10.0,0.0,1018.3,,-15.82993167,-47.981345,"-15.82993167,-47.981345","-15.82993167,-47.981345",,Clear
"-15.82993167,-47.981345",03/27/2021 08:40:40,23.4,23.4,23.4,15.4,61.14,,7.5,,75.0,,0.0,,,13.7,21.7,1018.7,,-15.82993167,-47.981345,"-15.82993167,-47.981345","-15.82993167,-47.981345",,Clear
"-15.82993167,-47.981345",03/27/2021 09:40:40,25.0,25.0,25.0,15.9,57.1,,14.7,,60.0,,0.0,,,10.0,26.3,1020.8,,-15.82993167,-47.981345,"-15.82993167,-47.981345","-15.82993167,-47.981345",,Partially cloudy
"-15.82993167,-47.981345",03/27/2021 10:40:40,26.1,26.1,26.1,13.2,44.88,,12.9,,53.0,,0.0,,,10.0,33.6,1017.6,,-15.82993167,-47.981345,"-15.82993167,-47.981345","-15.82993167,-47.981345",,Partially cloudy
"-15.82993167,-47.981345",03/27/2021 11:40:40,27.1,27.1,27.1,12.0,39.19,26.9,9.6,,26.0,,0.0,,,13.7,36.1,1017.1,,-15.82993167,-47.981345,"-15.82993167,-47.981345","-15.82993167,-47.981345",,Partially cloudy
"-15.82993167,-47.981345",03/27/2021 12:40:40,27.7,27.7,27.7,11.7,36.86,27.3,8.7,,42.0,,0.0,,,10.0,33.6,1016.1,,-15.82993167,-47.981345,"-15.82993167,-47.981345","-15.82993167,-47.981345",,Partially cloudy
"-15.82993167,-47.981345",03/27/2021 13:40:40,28.5,28.5,28.5,11.8,35.53,27.8,5.2,,30.0,,0.0,,,10.0,33.6,1015.2,,-15.82993167,-47.981345,"-15.82993167,-47.981345","-15.82993167,-47.981345",,Partially cloudy
"-15.82993167,-47.981345",03/27/2021 14:40:40,28.7,28.7,28.7,11.3,34.17,27.9,8.1,,320.0,,0.0,,,13.7,31.3,1014.2,,-15.82993167,-47.981345,"-15.82993167,-47.981345","-15.82993167,-47.981345",,Partially cloudy
"-15.82993167,-47.981345",03/27/2021 15:40:40,28.6,28.6,28.6,11.4,34.62,27.8,6.1,,355.0,,0.0,,,10.0,33.6,1013.5,,-15.82993167,-47.981345,"-15.82993167,-47.981345","-15.82993167,-47.981345",,Partially cloudy
"-15.82993167,-47.981345",03/27/2021 16:40:40,28.4,28.4,28.4,10.7,33.3,27.6,4.6,,95.0,,0.0,,,10.0,33.6,1013.5,,-15.82993167,-47.981345,"-15.82993167,-47.981345","-15.82993167,-47.981345",,Partially cloudy
"-15.82993167,-47.981345",03/27/2021 17:40:40,26.7,26.7,26.7,12.9,42.37,26.8,7.8,,52.0,,0.0,,,13.7,17.2,1014.1,,-15.82993167,-47.981345,"-15.82993167,-47.981345","-15.82993167,-47.981345",,Clear
"-15.82993167,-47.981345",03/27/2021 18:40:40,24.6,24.6,24.6,13.2,49.19,,3.4,,14.0,,0.0,,,10.0,0.0,1014.7,,-15.82993167,-47.981345,"-15.82993167,-47.981345","-15.82993167,-47.981345",,Clear
"-15.82993167,-47.981345",03/27/2021 19:40:40,23.5,23.5,23.5,14.2,55.75,,4.8,,356.0,,0.0,,,10.0,0.0,1016.6,,-15.82993167,-47.981345,"-15.82993167,-47.981345","-15.82993167,-47.981345",,Clear
