Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.82171,-47.97564167",10/05/2020 00:28:21,21.0,21.0,21.0,8.0,43.16,,3.6,,,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 01:28:21,22.0,22.0,22.0,7.0,37.92,,3.6,,230.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 02:28:21,21.0,21.0,21.0,8.0,43.16,,3.6,,220.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 03:28:21,20.0,20.0,20.0,8.0,45.91,,1.8,,,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 04:28:21,17.0,17.0,17.0,9.0,59.28,,1.8,,270.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 05:28:21,17.0,17.0,17.0,9.0,59.28,,0.0,,0.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 06:28:21,20.0,20.0,20.0,10.0,52.54,,7.6,,40.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 07:28:21,26.0,26.0,26.0,9.0,34.16,,24.1,,50.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 08:28:21,27.0,27.0,27.0,9.0,32.21,26.5,25.9,,60.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 09:28:21,29.0,29.0,29.0,10.0,30.65,27.9,24.1,,50.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 10:28:21,30.0,30.0,30.0,10.0,28.94,28.7,20.5,,40.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 11:28:21,32.0,32.0,32.0,9.0,24.14,30.2,20.5,,30.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 12:28:21,34.0,34.0,34.0,9.0,21.57,32.1,18.4,,40.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 13:28:21,34.0,34.0,34.0,9.0,21.57,32.1,24.1,,60.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 14:28:21,34.0,34.0,34.0,8.0,20.16,32.0,18.4,38.9,50.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 15:28:21,34.0,34.0,34.0,7.0,18.83,31.8,20.5,,50.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 16:28:21,33.0,33.0,33.0,6.0,18.59,30.8,24.1,,80.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 17:28:21,32.0,32.0,32.0,7.0,21.07,30.0,18.4,,80.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 18:28:21,30.0,30.0,30.0,8.0,25.28,28.4,11.2,,80.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 19:28:21,28.0,28.0,28.0,9.0,30.38,27.1,11.2,,70.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 20:28:21,27.0,27.0,27.0,9.0,32.21,26.5,9.4,,80.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 21:28:21,27.0,27.0,27.0,10.0,34.45,26.6,5.4,,70.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 22:28:21,24.0,24.0,24.0,11.0,44.0,,3.6,,130.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/05/2020 23:28:21,22.0,22.0,22.0,11.0,49.66,,3.6,,320.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
"-15.82171,-47.97564167",10/06/2020 00:28:21,24.0,24.0,24.0,11.0,44.0,,3.6,,200.0,,0.0,,,10.0,0.0,,,-15.82171,-47.97564167,"-15.82171,-47.97564167","-15.82171,-47.97564167",,Clear
