Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.82907833,-47.97448167",07/29/2020 00:45:19,16.7,16.7,16.7,12.0,74.09,,4.7,,186.0,,0.0,,0.0,10.0,0.0,1020.3,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Clear
"-15.82907833,-47.97448167",07/29/2020 01:45:19,14.0,14.0,14.0,11.0,82.12,,3.6,,198.0,,0.0,,0.0,10.0,0.0,1020.2,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Clear
"-15.82907833,-47.97448167",07/29/2020 02:45:19,15.8,15.8,15.8,12.5,80.47,,5.1,,201.0,,0.0,,0.0,10.0,0.0,1019.7,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Clear
"-15.82907833,-47.97448167",07/29/2020 03:45:19,15.1,15.1,15.1,11.6,79.52,,7.7,,192.0,,0.0,,0.0,10.0,0.0,1019.3,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Clear
"-15.82907833,-47.97448167",07/29/2020 04:45:19,15.0,15.0,15.0,11.1,77.71,,4.4,,202.0,,0.0,,0.0,10.0,0.0,1019.8,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Clear
"-15.82907833,-47.97448167",07/29/2020 05:45:19,14.8,14.8,14.8,11.3,79.4,,5.6,,184.0,,0.0,,0.0,10.0,0.0,1020.5,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Clear
"-15.82907833,-47.97448167",07/29/2020 06:45:19,15.5,15.5,15.5,11.8,78.82,,7.4,,185.0,,0.0,,0.0,10.0,0.0,1021.2,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Clear
"-15.82907833,-47.97448167",07/29/2020 07:45:19,19.3,19.3,19.3,11.6,60.81,,3.5,,65.0,,0.0,,0.0,10.0,0.0,1020.2,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Clear
"-15.82907833,-47.97448167",07/29/2020 08:45:19,21.7,21.7,21.7,10.7,49.74,,4.1,,53.0,,0.0,,0.0,10.0,0.0,1020.6,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Clear
"-15.82907833,-47.97448167",07/29/2020 09:45:19,23.7,23.7,23.7,10.0,41.82,,13.4,,46.0,,0.0,,0.0,10.0,0.0,1019.8,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Clear
"-15.82907833,-47.97448167",07/29/2020 10:45:19,24.6,24.6,24.6,8.8,36.74,,19.6,,64.0,,0.0,,0.0,10.0,0.0,1019.3,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Clear
"-15.82907833,-47.97448167",07/29/2020 11:45:19,26.4,26.4,26.4,8.3,31.83,,16.8,,66.0,,0.0,,0.0,10.0,0.0,1017.8,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Clear
"-15.82907833,-47.97448167",07/29/2020 12:45:19,26.5,26.5,26.5,7.4,29.65,,13.3,,50.0,,0.0,,0.0,10.0,0.0,1016.7,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Clear
"-15.82907833,-47.97448167",07/29/2020 13:45:19,26.5,26.5,26.5,7.1,29.09,,11.1,,149.0,,0.0,,0.0,10.0,0.0,1016.1,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Clear
"-15.82907833,-47.97448167",07/29/2020 14:45:19,27.2,27.2,27.2,7.2,28.18,26.5,6.3,,36.0,,0.0,,0.0,10.0,33.2,1015.4,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Partially cloudy
"-15.82907833,-47.97448167",07/29/2020 15:45:19,26.7,26.7,26.7,6.5,27.54,26.2,7.2,,245.0,,0.0,,0.0,10.0,33.2,1015.1,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Partially cloudy
"-15.82907833,-47.97448167",07/29/2020 16:45:19,26.2,26.2,26.2,7.9,31.35,,12.5,,93.0,,0.0,,0.0,10.0,33.2,1016.1,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Partially cloudy
"-15.82907833,-47.97448167",07/29/2020 17:45:19,25.0,25.0,25.0,8.3,34.49,,10.3,,109.0,,0.0,,0.0,10.0,33.2,1017.2,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Partially cloudy
"-15.82907833,-47.97448167",07/29/2020 18:45:19,23.5,23.5,23.5,9.0,39.52,,8.8,,96.0,,0.0,,0.0,10.0,33.2,1017.9,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Partially cloudy
"-15.82907833,-47.97448167",07/29/2020 19:45:19,23.2,23.2,23.2,8.5,38.92,,7.1,,70.0,,0.0,,0.0,10.0,33.2,1018.9,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Partially cloudy
"-15.82907833,-47.97448167",07/29/2020 20:45:19,22.4,22.4,22.4,9.3,43.33,,10.3,,92.0,,0.0,,0.0,10.0,0.0,1019.4,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Clear
"-15.82907833,-47.97448167",07/29/2020 21:45:19,20.7,20.7,20.7,9.5,48.59,,4.5,,117.0,,0.0,,0.0,10.0,0.0,1020.5,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Clear
"-15.82907833,-47.97448167",07/29/2020 22:45:19,21.2,21.2,21.2,9.5,47.1,,4.7,,114.0,,0.0,,0.0,10.0,0.0,1020.7,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Clear
"-15.82907833,-47.97448167",07/29/2020 23:45:19,17.0,17.0,17.0,10.1,63.62,,4.9,,221.0,,0.0,,0.0,10.0,0.0,1020.5,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Clear
"-15.82907833,-47.97448167",07/30/2020 00:45:19,18.3,18.3,18.3,9.2,55.37,,9.7,,142.0,,0.0,,0.0,10.0,0.0,1019.9,,-15.82907833,-47.97448167,"-15.82907833,-47.97448167","-15.82907833,-47.97448167",,Clear
