Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.83009667,-47.98116",12/25/2020 06:25:26,19.6,19.6,19.6,17.9,90.12,,7.4,,358.0,,0.0,,,10.0,58.0,1013.0,,-15.83009667,-47.98116,"-15.83009667,-47.98116","-15.83009667,-47.98116",,Partially cloudy
"-15.83009667,-47.98116",12/25/2020 07:25:26,19.7,19.7,19.7,18.7,94.15,,6.5,,12.0,,0.0,,,10.0,68.7,1013.4,,-15.83009667,-47.98116,"-15.83009667,-47.98116","-15.83009667,-47.98116",,Partially cloudy
"-15.83009667,-47.98116",12/25/2020 08:25:26,19.9,19.9,19.9,18.9,93.97,,9.5,,58.0,,0.0,,,8.0,60.9,1013.8,Light Rain,-15.83009667,-47.98116,"-15.83009667,-47.98116","-15.83009667,-47.98116",,Partially cloudy
"-15.83009667,-47.98116",12/25/2020 09:25:26,19.9,19.9,19.9,18.2,89.84,,13.0,,86.0,,0.0,,,10.0,68.7,1014.2,,-15.83009667,-47.98116,"-15.83009667,-47.98116","-15.83009667,-47.98116",,Partially cloudy
"-15.83009667,-47.98116",12/25/2020 10:25:26,21.7,21.7,21.7,18.9,84.38,,6.2,,250.0,,0.0,,,10.0,60.9,1013.0,,-15.83009667,-47.98116,"-15.83009667,-47.98116","-15.83009667,-47.98116",,Partially cloudy
"-15.83009667,-47.98116",12/25/2020 11:25:26,23.7,23.7,23.7,18.8,73.87,,15.4,,345.0,,0.0,,,10.0,60.9,1011.0,,-15.83009667,-47.98116,"-15.83009667,-47.98116","-15.83009667,-47.98116",,Partially cloudy
"-15.83009667,-47.98116",12/25/2020 12:25:26,25.5,25.5,25.5,17.9,62.63,,19.3,,349.0,,0.0,,,10.0,60.9,1009.7,,-15.83009667,-47.98116,"-15.83009667,-47.98116","-15.83009667,-47.98116",,Partially cloudy
"-15.83009667,-47.98116",12/25/2020 13:25:26,26.5,26.5,26.5,17.6,58.11,,19.7,,339.0,,0.0,,,10.0,60.9,1007.8,,-15.83009667,-47.98116,"-15.83009667,-47.98116","-15.83009667,-47.98116",,Partially cloudy
"-15.83009667,-47.98116",12/25/2020 14:25:26,26.5,26.5,26.5,16.9,55.64,,16.4,,8.0,,0.0,,,10.0,34.3,1007.3,,-15.83009667,-47.98116,"-15.83009667,-47.98116","-15.83009667,-47.98116",,Partially cloudy
"-15.83009667,-47.98116",12/25/2020 15:25:26,25.6,25.6,25.6,17.7,61.78,,14.1,,117.0,,0.0,,,10.0,60.9,1006.9,,-15.83009667,-47.98116,"-15.83009667,-47.98116","-15.83009667,-47.98116",,Partially cloudy
