Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.8239185,-47.91178683",11/12/2016 20:20:04,21.7,21.7,21.7,18.2,80.5,,4,,352,,,,,,0,1011.1,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Clear
"-15.8239185,-47.91178683",11/12/2016 21:20:04,21.7,21.7,21.7,18.2,80.5,,4.3,,340,,,,,,0,1012,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Clear
"-15.8239185,-47.91178683",11/12/2016 22:20:04,20.1,20.1,20.1,20.1,100,,24.1,,100,,,,,0.6,90,,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Overcast
"-15.8239185,-47.91178683",11/12/2016 23:20:04,19.1,19.1,19.1,19.1,100,,5.4,,10,,,,,0.7,90,,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Overcast
"-15.8239185,-47.91178683",11/13/2016 00:20:04,18.5,18.5,18.5,17.7,94.94,,6,,147,,,,,1.2,52,1013.1,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Partially cloudy
"-15.8239185,-47.91178683",11/13/2016 01:20:04,18.7,18.7,18.7,17.7,93.91,,7.6,,338,,,,,,0,1012.2,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Clear
"-15.8239185,-47.91178683",11/13/2016 02:20:04,18.7,18.7,18.7,17.7,93.91,,9.4,,345,,,,,,0,1011.8,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Clear
"-15.8239185,-47.91178683",11/13/2016 03:20:04,19.1,19.1,19.1,17.1,88.19,,5.4,,30,,,,,1,90,,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Overcast
"-15.8239185,-47.91178683",11/13/2016 04:20:04,19.1,19.1,19.1,18,93.93,,7.6,,10,,,,,1,90,,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Overcast
"-15.8239185,-47.91178683",11/13/2016 05:20:04,18.6,18.6,18.6,17.4,92.79,,7.8,,333,,,,,,0,1011.9,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Clear
"-15.8239185,-47.91178683",11/13/2016 06:20:04,19.1,19.1,19.1,18,93.93,,7.6,,40,,,,,1,90,,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Overcast
"-15.8239185,-47.91178683",11/13/2016 07:20:04,19.7,19.7,19.7,18.1,90.49,,7.6,,346,,,,,,0,1012.4,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Clear
"-15.8239185,-47.91178683",11/13/2016 08:20:04,19.1,19.1,19.1,18,93.93,,9.4,,320,,,,,0.7,100,,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Overcast
"-15.8239185,-47.91178683",11/13/2016 09:20:04,20.1,20.1,20.1,19,93.78,,14.7,,31,,,,,0.9,96.7,1013.5,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Overcast
"-15.8239185,-47.91178683",11/13/2016 10:20:04,21.1,21.1,21.1,20,93.71,,22.1,,31,,,,,1,96.7,1013,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Overcast
"-15.8239185,-47.91178683",11/13/2016 11:20:04,21.1,21.1,21.1,18.1,83.03,,22,,30,,,,,1,96.7,1012.6,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Overcast
"-15.8239185,-47.91178683",11/13/2016 12:20:04,22,22,22,20,88.11,,22,,311,,,,,1,96.7,1011.4,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Overcast
"-15.8239185,-47.91178683",11/13/2016 13:20:04,21.6,21.6,21.6,17.9,79.48,,14.4,,340,,,,,,0,1010.2,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Clear
"-15.8239185,-47.91178683",11/13/2016 14:20:04,21.1,21.1,21.1,20,93.68,,23.8,,31,,,,,0.4,87,1009.5,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Overcast
"-15.8239185,-47.91178683",11/13/2016 15:20:04,21.1,21.1,21.1,20.1,94.02,,18.4,,20,,,,,1,90,,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Overcast
"-15.8239185,-47.91178683",11/13/2016 16:20:04,21.2,21.2,21.2,17.6,79.93,,14.8,,322,,,,,,0,1008.4,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Clear
"-15.8239185,-47.91178683",11/13/2016 17:20:04,20.6,20.6,20.6,18.2,86.13,,7.9,,339,,,,,,0,1008.8,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Clear
"-15.8239185,-47.91178683",11/13/2016 18:20:04,19.1,19.1,19.1,17.9,92.7,,11.3,,347,,,,,0.3,52,1009.9,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Partially cloudy
"-15.8239185,-47.91178683",11/13/2016 19:20:04,19.1,19.1,19.1,19.1,100,,9.4,,20,,,,,1,90,,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Overcast
"-15.8239185,-47.91178683",11/13/2016 20:20:04,19.1,19.1,19.1,19.1,100,,7.6,,10,,,,,1,50,,,-15.8239185,-47.91178683,"-15.8239185,-47.91178683",,,Partially cloudy
