Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.802055,-47.90541667",01/29/2021 19:44:38,21.0,21.0,21.0,14.9,67.99,,4.9,,218.0,,0.0,,,10.0,11.1,1015.5,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/29/2021 20:44:38,19.9,19.9,19.9,15.2,74.4,,3.9,,55.0,,0.0,,,10.0,6.4,1015.5,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/29/2021 21:44:38,19.6,19.6,19.6,14.9,74.08,,4.2,,70.0,,0.0,,,16.1,0.0,1015.2,Sky Coverage Increasing,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/29/2021 22:44:38,19.2,19.2,19.2,15.0,76.47,,4.1,,173.0,,0.0,,,10.0,0.0,1015.2,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/29/2021 23:44:38,19.8,19.8,19.8,14.9,73.28,,3.6,,107.0,,0.0,,,10.0,11.1,1014.8,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/30/2021 00:44:38,20.1,20.1,20.1,14.9,71.86,,3.5,,54.0,,0.0,,,16.1,11.1,1015.0,Sky Unchanged,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/30/2021 01:44:38,19.8,19.8,19.8,16.1,79.19,,2.0,,194.0,,0.0,,,10.0,11.1,1016.0,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/30/2021 02:44:38,22.5,22.5,22.5,14.6,60.96,,4.7,,85.0,,0.0,,,10.0,11.1,1015.0,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/30/2021 03:44:38,23.8,23.8,23.8,15.3,59.02,,12.6,,113.0,,0.0,,,16.1,2.3,1015.4,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/30/2021 04:44:38,24.9,24.9,24.9,15.7,56.6,,13.2,,72.0,,0.0,,,10.0,6.3,1014.8,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/30/2021 05:44:38,25.7,25.7,25.7,15.1,51.93,,10.7,,54.0,,0.0,,,10.0,6.3,1014.4,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/30/2021 06:44:38,26.9,26.9,26.9,15.2,48.53,27.3,13.7,,77.0,,0.0,,,16.1,14.0,1012.9,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/30/2021 07:44:38,27.4,27.4,27.4,14.0,43.8,27.4,12.9,,68.0,,0.0,,,10.0,23.7,1012.4,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/30/2021 08:44:38,27.9,27.9,27.9,14.6,44.22,27.9,12.7,,72.0,,0.0,,,10.1,20.0,1011.9,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/30/2021 09:44:38,27.8,27.8,27.8,15.1,46.14,27.9,11.3,,57.0,,0.0,,,16.0,13.4,1011.0,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/30/2021 10:44:38,29.1,29.1,29.1,14.9,41.94,28.9,14.4,,73.0,,0.0,,,10.0,19.9,1009.4,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/30/2021 11:44:38,29.2,29.2,29.2,14.5,40.64,28.9,13.5,,66.0,,0.0,,,10.0,23.8,1008.7,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/30/2021 12:44:38,28.6,28.6,28.6,14.9,43.44,28.5,12.7,,78.0,,0.0,,,16.1,18.8,1008.9,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/30/2021 13:44:38,27.3,27.3,27.3,14.9,46.62,27.5,11.6,,81.0,,0.0,,,10.0,16.9,1009.8,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/30/2021 14:44:38,26.3,26.3,26.3,15.6,51.79,,7.3,,73.0,,0.0,,,10.0,11.2,1011.0,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/30/2021 15:44:38,26.0,26.0,26.0,15.5,52.3,,8.3,,74.0,,0.0,,,16.0,11.0,1012.3,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/30/2021 16:44:38,24.4,24.4,24.4,16.0,59.28,,5.7,,76.0,,0.0,,,10.0,11.1,1014.0,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/30/2021 17:44:38,22.1,22.1,22.1,16.0,68.21,,4.0,,83.0,,0.0,,,10.0,6.3,1016.0,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/30/2021 18:44:38,21.5,21.5,21.5,16.1,71.37,,4.5,,108.0,,0.0,,,16.1,3.1,1016.3,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
"-15.802055,-47.90541667",01/30/2021 19:44:38,22.6,22.6,22.6,16.0,66.57,,5.9,,110.0,,0.0,,,10.0,0.0,1014.8,,-15.802055,-47.90541667,"-15.802055,-47.90541667","-15.802055,-47.90541667",,Clear
