Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.79766717,-47.8925745",09/04/2015 06:08:12,13.1,13.1,13.1,9.1,76.69,,3.6,,200,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/04/2015 07:08:12,14.1,14.1,14.1,10.1,76.85,,0,,,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/04/2015 08:08:12,21.1,21.1,21.1,9.1,46.2,,3.6,,170,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/04/2015 09:08:12,28.1,28.1,28.1,6.1,24.77,26.9,14.8,,320,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/04/2015 10:08:12,30.1,30.1,30.1,5.1,20.58,28.3,20.5,,300,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/04/2015 11:08:12,32.1,32.1,32.1,3.1,15.96,29.9,14.8,,280,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/04/2015 12:08:12,32.1,32.1,32.1,3.1,15.96,29.9,16.6,,280,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/04/2015 13:08:12,32.1,32.1,32.1,2.1,14.87,29.8,9.4,,340,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/04/2015 14:08:12,33.1,33.1,33.1,3.1,15.09,30.7,7.6,,260,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/04/2015 15:08:12,33.1,33.1,33.1,2.1,14.05,30.7,14.8,,280,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/04/2015 16:08:12,33.1,33.1,33.1,3.1,15.09,30.7,13,,300,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/04/2015 17:08:12,32.1,32.1,32.1,4.1,17.13,29.9,5.4,,230,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/04/2015 18:08:12,29.1,29.1,29.1,6.1,23.37,27.6,5.4,,200,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/04/2015 19:08:12,28.1,28.1,28.1,5.1,23.11,26.9,7.6,,240,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/04/2015 20:08:12,24.1,24.1,24.1,7.1,33.62,,0,,,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/04/2015 21:08:12,21.1,21.1,21.1,9.1,46.2,,0,,,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/04/2015 22:08:12,21.1,21.1,21.1,8.1,43.18,,3.6,,200,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/04/2015 23:08:12,19.1,19.1,19.1,10.1,55.92,,7.6,,200,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/05/2015 00:08:12,17.1,17.1,17.1,10.1,63.41,,0,,,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/05/2015 01:08:12,17.1,17.1,17.1,10.1,63.41,,3.6,,200,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/05/2015 02:08:12,16.1,16.1,16.1,9.1,63.19,,0,,,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/05/2015 03:08:12,15.1,15.1,15.1,10.1,72.04,,3.6,,190,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/05/2015 04:08:12,14.1,14.1,14.1,10.1,76.85,,0,,,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/05/2015 05:08:12,14.1,14.1,14.1,9.1,71.86,,0,,,,,,,,0,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,Clear
"-15.79766717,-47.8925745",09/05/2015 06:08:12,,,,,,,,,,,,,,,,,,-15.79766717,-47.8925745,"-15.79766717,-47.8925745",,,
