Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.82245667,-47.97525",03/17/2019 03:44:59,19.7,19.7,19.7,17.9,89.78,,4.1,,118,,0,,,1,40,1015.1,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Partially cloudy
"-15.82245667,-47.97525",03/17/2019 04:44:59,18.9,18.9,18.9,18.4,97.34,,4,,221,,0,,,1,40,1015,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Partially cloudy
"-15.82245667,-47.97525",03/17/2019 05:44:59,19.4,19.4,19.4,18.4,93.95,,6,,262,,0,,,1,16.4,1015.2,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Clear
"-15.82245667,-47.97525",03/17/2019 06:44:59,19.9,19.9,19.9,18.9,93.97,,2.1,,134,,0,,,1,21.2,1015.8,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Clear
"-15.82245667,-47.97525",03/17/2019 07:44:59,20.9,20.9,20.9,18.9,88.34,,3.7,,350,,0,,,1,21.2,1016.4,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Clear
"-15.82245667,-47.97525",03/17/2019 08:44:59,22.2,22.2,22.2,19.5,84.36,,3.1,,245,,0,,,1,16.4,1016.6,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Clear
"-15.82245667,-47.97525",03/17/2019 09:44:59,23.4,23.4,23.4,19.5,78.46,,7,,167,,0,,,1,30.4,1016.8,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Partially cloudy
"-15.82245667,-47.97525",03/17/2019 10:44:59,21.6,21.6,21.6,19.5,87.55,,21.8,,82,,0,,,1,54,1018,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Partially cloudy
"-15.82245667,-47.97525",03/17/2019 11:44:59,20.9,20.9,20.9,18.8,88.13,,10.3,,83,,0,,,1,30.8,1017.4,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Partially cloudy
"-15.82245667,-47.97525",03/17/2019 12:44:59,20.7,20.7,20.7,18.7,88.76,,7.4,,108,,0,,,1,30.4,1016.6,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Partially cloudy
"-15.82245667,-47.97525",03/17/2019 13:44:59,21.9,21.9,21.9,18.1,79.01,,8,,32,,0,,,1,16.4,1014.6,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Clear
"-15.82245667,-47.97525",03/17/2019 14:44:59,22.2,22.2,22.2,18.7,80.54,,5.2,,215,,0,,,1,30.8,1013.1,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Partially cloudy
"-15.82245667,-47.97525",03/17/2019 15:44:59,23.1,23.1,23.1,19.4,80.06,,5.3,,234,,0,,,1,30.8,1012.3,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Partially cloudy
"-15.82245667,-47.97525",03/17/2019 16:44:59,23.8,23.8,23.8,19.5,76.63,,6.6,,320,,0,,,1,30.8,1011.8,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Partially cloudy
"-15.82245667,-47.97525",03/17/2019 17:44:59,23.5,23.5,23.5,18.9,75.73,,3.1,,313,,0,,,1,21.2,1012.1,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Clear
"-15.82245667,-47.97525",03/17/2019 18:44:59,22,22,22,19.3,84.75,,1.7,,323,,0,,,1,21.2,1013.7,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Clear
"-15.82245667,-47.97525",03/17/2019 19:44:59,22,22,22,19.6,86.2,,4.2,,336,,0,,,1,0,1014.1,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Clear
"-15.82245667,-47.97525",03/17/2019 20:44:59,21.1,21.1,21.1,19.3,89.88,,1.5,,134,,0,,,1,0,1015.1,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Clear
"-15.82245667,-47.97525",03/17/2019 21:44:59,20.4,20.4,20.4,19.3,93.54,,2.9,,343,,0,,,1,0,1016.2,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Clear
"-15.82245667,-47.97525",03/17/2019 22:44:59,19.6,19.6,19.6,18.6,93.96,,1.1,,121,,0,,,1,0,1016.8,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Clear
"-15.82245667,-47.97525",03/17/2019 23:44:59,19.8,19.8,19.8,18.8,93.97,,5,,190,,0,,,1,0,1016.3,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Clear
"-15.82245667,-47.97525",03/18/2019 00:44:59,19.1,19.1,19.1,18.7,97.59,,2.5,,212,,0,,,1,0,1016.1,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Clear
"-15.82245667,-47.97525",03/18/2019 01:44:59,18.8,18.8,18.8,17.9,94.15,,3.2,,28,,0,,,1,0,1016.5,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Clear
"-15.82245667,-47.97525",03/18/2019 02:44:59,18.8,18.8,18.8,17.8,93.92,,4.4,,310,,0,,,1,0,1016.4,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Clear
"-15.82245667,-47.97525",03/18/2019 03:44:59,19.5,19.5,19.5,18.5,94.41,,4.1,,277,,0,,,1,0,1015.8,,-15.82245667,-47.97525,"-15.82245667,-47.97525",,,Clear
