Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.8303,-47.98135667",11/13/2020 00:37:28,20.4,20.4,20.4,19.4,93.98,,3.1,,26.0,,0.0,,0.0,10.0,60.3,1014.9,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 01:37:28,20.2,20.2,20.2,19.1,93.43,,3.3,,251.0,,0.0,,0.0,10.0,60.3,1014.1,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 02:37:28,20.6,20.6,20.6,18.6,88.53,,2.1,,19.0,,0.0,,0.0,13.7,57.8,1013.2,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 03:37:28,20.4,20.4,20.4,19.3,93.63,,2.8,,278.0,,0.0,,0.0,10.0,60.3,1013.1,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 04:37:28,20.4,20.4,20.4,18.6,89.74,,4.6,,360.0,,0.0,,0.0,10.0,60.3,1013.5,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 05:37:28,20.4,20.4,20.4,18.8,90.44,,4.4,,156.0,,0.0,,0.0,10.0,60.3,1014.2,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 06:37:28,20.6,20.6,20.6,19.5,93.43,,3.4,,259.0,,0.0,,0.0,9.0,60.3,1015.0,Light Rain,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 07:37:28,21.6,21.6,21.6,19.7,89.06,,4.1,,105.0,,0.0,,0.0,10.0,60.3,1015.2,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 08:37:28,21.4,21.4,21.4,19.6,89.6,,4.8,,354.0,,0.0,,0.0,13.7,60.3,1016.5,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 09:37:28,21.2,21.2,21.2,19.5,89.79,,9.3,,11.0,,0.0,,0.0,6.0,60.3,1017.1,Light Rain,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 10:37:28,22.7,22.7,22.7,19.3,81.15,,4.8,,44.0,,0.0,,0.0,10.0,60.3,1015.5,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 11:37:28,24.3,24.3,24.3,18.6,70.88,,3.8,,88.0,,0.0,,0.0,10.0,60.3,1014.6,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 12:37:28,24.6,24.6,24.6,18.6,69.24,,6.5,,29.0,,0.0,,0.0,10.0,60.3,1012.8,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 13:37:28,26.4,26.4,26.4,17.6,58.44,,7.4,,44.0,,0.0,,0.0,10.0,34.0,1011.2,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 14:37:28,26.1,26.1,26.1,18.4,62.61,,8.6,,33.0,,0.0,,0.0,13.7,57.8,1010.9,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 15:37:28,24.9,24.9,24.9,18.3,66.62,,5.9,,24.0,,0.0,,0.0,10.0,39.5,1010.4,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 16:37:28,25.1,25.1,25.1,19.3,70.44,,5.4,,358.0,,0.0,,0.0,10.0,60.3,1010.7,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 17:37:28,22.9,22.9,22.9,18.6,77.05,,5.4,,358.0,,0.0,,0.0,10.0,60.3,1011.0,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 18:37:28,23.4,23.4,23.4,20.2,82.53,,5.5,,5.0,,0.0,,0.0,10.0,60.3,1012.3,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 19:37:28,23.2,23.2,23.2,19.5,79.74,,5.3,,307.0,,0.0,,0.0,10.0,60.3,1012.9,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 20:37:28,22.9,22.9,22.9,19.5,80.75,,4.0,,248.0,,0.0,,0.0,13.7,52.8,1013.9,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 21:37:28,22.1,22.1,22.1,19.5,85.09,,6.5,,215.0,,0.0,,0.0,10.0,34.3,1015.0,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
"-15.8303,-47.98135667",11/13/2020 22:37:28,21.9,21.9,21.9,19.5,85.97,,6.1,,176.0,,0.0,,0.0,10.0,34.0,1014.6,,-15.8303,-47.98135667,"-15.8303,-47.98135667","-15.8303,-47.98135667",,Partially cloudy
