Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.8246165,-47.91131767",02/14/2016 03:55:42,22.1,22.1,22.1,19.1,83.11,,9.4,,360,,,,,1,90,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Overcast
"-15.8246165,-47.91131767",02/14/2016 04:55:42,21.1,21.1,21.1,20.1,94.02,,9.4,,350,,,,,1,90,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Overcast
"-15.8246165,-47.91131767",02/14/2016 05:55:42,21.1,21.1,21.1,20.1,94.02,,7.6,,320,,,,,1,90,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Overcast
"-15.8246165,-47.91131767",02/14/2016 06:55:42,20.1,20.1,20.1,19.1,93.98,,9.4,,330,,,,,1,90,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Overcast
"-15.8246165,-47.91131767",02/14/2016 07:55:42,21.1,21.1,21.1,19.1,88.36,,5.4,,10,,,,,1,50,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Partially cloudy
"-15.8246165,-47.91131767",02/14/2016 08:55:42,22.1,22.1,22.1,19.1,83.11,,11.2,,350,,,,,1,50,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Partially cloudy
"-15.8246165,-47.91131767",02/14/2016 09:55:42,25.1,25.1,25.1,18.1,65.16,,9.4,,360,,,,,1,30,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Partially cloudy
"-15.8246165,-47.91131767",02/14/2016 10:55:42,27.1,27.1,27.1,18.1,57.89,28,16.6,,330,,,,,1,90,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Overcast
"-15.8246165,-47.91131767",02/14/2016 11:55:42,27.1,27.1,27.1,18.1,57.89,28,20.5,,310,,,,,1,90,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Overcast
"-15.8246165,-47.91131767",02/14/2016 12:55:42,27.1,27.1,27.1,18.1,57.89,28,14.8,,330,,,,,1,90,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Overcast
"-15.8246165,-47.91131767",02/14/2016 13:55:42,30.1,30.1,30.1,17.1,45.66,30.5,18.4,,340,,,,,1,90,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Overcast
"-15.8246165,-47.91131767",02/14/2016 14:55:42,27.1,27.1,27.1,18.1,57.89,28,18.4,,280,,,,,1,90,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Overcast
"-15.8246165,-47.91131767",02/14/2016 15:55:42,28.1,28.1,28.1,18.1,54.6,28.9,24.1,,300,,,,,1,90,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Overcast
"-15.8246165,-47.91131767",02/14/2016 16:55:42,26.1,26.1,26.1,18.1,61.4,,14.8,,310,,,,,1,90,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Overcast
"-15.8246165,-47.91131767",02/14/2016 17:55:42,25.1,25.1,25.1,20.1,73.81,,5.4,,200,,,,,1,90,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Overcast
"-15.8246165,-47.91131767",02/14/2016 18:55:42,26.1,26.1,26.1,18.1,61.4,,7.6,,330,,,,,1,50,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Partially cloudy
"-15.8246165,-47.91131767",02/14/2016 19:55:42,25.1,25.1,25.1,20.1,73.81,,3.6,,350,,,,,1,50,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Partially cloudy
"-15.8246165,-47.91131767",02/14/2016 20:55:42,25.1,25.1,25.1,19.1,69.37,,7.6,,350,,,,,1,90,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Overcast
"-15.8246165,-47.91131767",02/14/2016 21:55:42,24.1,24.1,24.1,18.1,69.17,,7.6,,350,,,,,1,50,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Partially cloudy
"-15.8246165,-47.91131767",02/14/2016 22:55:42,21.1,21.1,21.1,20.1,94.02,,5.4,,180,,,,,1,50,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Partially cloudy
"-15.8246165,-47.91131767",02/14/2016 23:55:42,21.1,21.1,21.1,20.1,94.02,,7.6,,140,,,,,1,90,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Overcast
"-15.8246165,-47.91131767",02/15/2016 00:55:42,20.1,20.1,20.1,19.1,93.98,,14.8,,300,,,,,1,90,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Overcast
"-15.8246165,-47.91131767",02/15/2016 01:55:42,20.1,20.1,20.1,19.1,93.98,,7.6,,20,,,,,0.3,90,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Overcast
"-15.8246165,-47.91131767",02/15/2016 02:55:42,19.1,19.1,19.1,19.1,100,,16.6,,340,,,,,0.5,90,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Overcast
"-15.8246165,-47.91131767",02/15/2016 03:55:42,20.1,20.1,20.1,19.1,93.98,,7.6,,10,,,,,1,90,,,-15.8246165,-47.91131767,"-15.8246165,-47.91131767",,,Overcast
