Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.821555,-47.97561833",10/07/2020 00:24:46,22.6,22.6,22.6,11.3,48.98,,4.7,,318.0,,0.0,,0.0,10.0,0.0,1015.9,,-15.821555,-47.97561833,"-15.821555,-47.97561833","-15.821555,-47.97561833",,Clear
"-15.821555,-47.97561833",10/07/2020 01:24:46,21.4,21.4,21.4,10.8,50.86,,3.8,,309.0,,0.0,,0.0,10.0,0.0,1015.4,,-15.821555,-47.97561833,"-15.821555,-47.97561833","-15.821555,-47.97561833",,Clear
"-15.821555,-47.97561833",10/07/2020 02:24:46,22.3,22.3,22.3,10.7,47.66,,4.3,,112.0,,0.0,,0.0,14.0,0.0,1015.2,,-15.821555,-47.97561833,"-15.821555,-47.97561833","-15.821555,-47.97561833",,Clear
"-15.821555,-47.97561833",10/07/2020 03:24:46,20.6,20.6,20.6,11.9,57.36,,2.5,,320.0,,0.0,,0.0,10.0,0.0,1015.2,,-15.821555,-47.97561833,"-15.821555,-47.97561833","-15.821555,-47.97561833",,Clear
"-15.821555,-47.97561833",10/07/2020 04:24:46,19.2,19.2,19.2,10.8,58.31,,3.7,,293.0,,0.0,,0.0,10.0,0.0,1016.7,,-15.821555,-47.97561833,"-15.821555,-47.97561833","-15.821555,-47.97561833",,Clear
"-15.821555,-47.97561833",10/07/2020 05:24:46,19.7,19.7,19.7,11.0,57.18,,3.5,,261.0,,0.0,,0.0,10.0,0.0,1017.8,,-15.821555,-47.97561833,"-15.821555,-47.97561833","-15.821555,-47.97561833",,Clear
"-15.821555,-47.97561833",10/07/2020 06:24:46,22.4,22.4,22.4,11.4,49.77,,2.2,,16.0,,0.0,,0.0,10.0,0.0,1015.5,,-15.821555,-47.97561833,"-15.821555,-47.97561833","-15.821555,-47.97561833",,Clear
"-15.821555,-47.97561833",10/07/2020 07:24:46,26.5,26.5,26.5,10.8,37.59,,5.8,,10.0,,0.0,,0.0,10.0,0.0,1015.1,,-15.821555,-47.97561833,"-15.821555,-47.97561833","-15.821555,-47.97561833",,Clear
"-15.821555,-47.97561833",10/07/2020 08:24:46,29.7,29.7,29.7,11.5,32.61,28.7,8.6,,24.0,,0.0,,0.0,14.0,0.0,1014.5,,-15.821555,-47.97561833,"-15.821555,-47.97561833","-15.821555,-47.97561833",,Clear
"-15.821555,-47.97561833",10/07/2020 09:24:46,31.7,31.7,31.7,10.6,27.45,30.2,12.4,,40.0,,0.0,,0.0,10.0,0.0,1013.9,,-15.821555,-47.97561833,"-15.821555,-47.97561833","-15.821555,-47.97561833",,Clear
