Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.82167,-47.97553667",08/14/2020 00:17:58,16.0,16.0,16.0,11.0,72.07,,3.7,,277.0,,0.0,,0.0,10.0,0.0,1016.7,,-15.82167,-47.97553667,"-15.82167,-47.97553667","-15.82167,-47.97553667",,Clear
"-15.82167,-47.97553667",08/14/2020 01:17:58,16.0,16.0,16.0,12.0,77.02,,3.6,,247.0,,0.0,,0.0,10.0,0.0,1016.8,,-15.82167,-47.97553667,"-15.82167,-47.97553667","-15.82167,-47.97553667",,Clear
"-15.82167,-47.97553667",08/14/2020 02:17:58,16.2,16.2,16.2,10.7,69.96,,5.8,,188.0,,0.0,,0.0,10.0,0.0,1016.4,,-15.82167,-47.97553667,"-15.82167,-47.97553667","-15.82167,-47.97553667",,Clear
"-15.82167,-47.97553667",08/14/2020 03:17:58,16.1,16.1,16.1,11.4,73.93,,5.5,,163.0,,0.0,,0.0,10.0,0.0,1016.2,,-15.82167,-47.97553667,"-15.82167,-47.97553667","-15.82167,-47.97553667",,Clear
"-15.82167,-47.97553667",08/14/2020 04:17:58,15.5,15.5,15.5,10.9,74.46,,4.1,,195.0,,0.0,,0.0,10.0,0.0,1016.4,,-15.82167,-47.97553667,"-15.82167,-47.97553667","-15.82167,-47.97553667",,Clear
"-15.82167,-47.97553667",08/14/2020 05:17:58,15.4,15.4,15.4,11.1,75.48,,5.1,,183.0,,0.0,,0.0,10.0,0.0,1016.9,,-15.82167,-47.97553667,"-15.82167,-47.97553667","-15.82167,-47.97553667",,Clear
"-15.82167,-47.97553667",08/14/2020 06:17:58,16.0,16.0,16.0,11.1,72.74,,5.2,,66.0,,0.0,,0.0,10.0,0.0,1017.6,,-15.82167,-47.97553667,"-15.82167,-47.97553667","-15.82167,-47.97553667",,Clear
"-15.82167,-47.97553667",08/14/2020 07:17:58,19.7,19.7,19.7,12.4,62.97,,5.5,,68.0,,0.0,,0.0,10.0,0.0,1017.3,,-15.82167,-47.97553667,"-15.82167,-47.97553667","-15.82167,-47.97553667",,Clear
"-15.82167,-47.97553667",08/14/2020 08:17:58,21.7,21.7,21.7,12.5,56.09,,14.4,,62.0,,0.0,,0.0,10.0,0.0,1017.1,,-15.82167,-47.97553667,"-15.82167,-47.97553667","-15.82167,-47.97553667",,Clear
"-15.82167,-47.97553667",08/14/2020 09:17:58,23.5,23.5,23.5,13.0,52.01,,19.2,,65.0,,0.0,,0.0,10.0,0.0,1016.8,,-15.82167,-47.97553667,"-15.82167,-47.97553667","-15.82167,-47.97553667",,Clear
"-15.82167,-47.97553667",08/14/2020 10:17:58,25.4,25.4,25.4,12.0,43.21,,14.8,,64.0,,0.0,,0.0,10.0,16.0,1015.4,,-15.82167,-47.97553667,"-15.82167,-47.97553667","-15.82167,-47.97553667",,Clear
"-15.82167,-47.97553667",08/14/2020 11:17:58,25.9,25.9,25.9,11.0,39.36,,10.2,,47.0,,0.0,,0.0,10.0,16.0,1014.4,,-15.82167,-47.97553667,"-15.82167,-47.97553667","-15.82167,-47.97553667",,Clear
"-15.82167,-47.97553667",08/14/2020 12:17:58,26.9,26.9,26.9,10.4,35.65,26.6,12.4,,66.0,,0.0,,0.0,10.0,0.0,1012.6,,-15.82167,-47.97553667,"-15.82167,-47.97553667","-15.82167,-47.97553667",,Clear
"-15.82167,-47.97553667",08/14/2020 13:17:58,27.8,27.8,27.8,9.7,32.15,27.1,11.2,,73.0,,0.0,,0.0,10.0,0.0,1011.5,,-15.82167,-47.97553667,"-15.82167,-47.97553667","-15.82167,-47.97553667",,Clear
"-15.82167,-47.97553667",08/14/2020 14:17:58,28.2,28.2,28.2,9.2,30.34,27.3,12.8,,50.0,,0.0,,0.0,10.0,0.0,1010.2,,-15.82167,-47.97553667,"-15.82167,-47.97553667","-15.82167,-47.97553667",,Clear
