Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.82445883,-47.91143117",07/15/2018 03:38:25,11.3,11.3,11.3,9.3,87.13,,1.8,,117,,0,,,,0,1021.4,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/15/2018 04:38:25,11.1,11.1,11.1,9.3,88.43,,2.2,,128,,0,,,,0,1021.8,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/15/2018 05:38:25,12.1,12.1,12.1,9.3,82.78,,2.2,,112,,0,,,,0,1021,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/15/2018 06:38:25,12.5,12.5,12.5,8.7,77.59,,3.1,,99,,0,,,,0,1021.4,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/15/2018 07:38:25,15.1,15.1,15.1,9.8,70.47,,5.7,,88,,0,,,,0,1021.3,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/15/2018 08:38:25,19.3,19.3,19.3,10.4,56.21,,10.5,,74,,0,,,,0,1021,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/15/2018 09:38:25,21.9,21.9,21.9,8.5,42.24,,13.2,,66,,0,,,,0,1020.6,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/15/2018 10:38:25,23.1,23.1,23.1,9.1,40.88,,14.3,,78,,0,,,,0,1020,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/15/2018 11:38:25,23.9,23.9,23.9,8.1,36.38,,14.2,,88,,0,,,,0,1019.2,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/15/2018 12:38:25,24.8,24.8,24.8,7.2,32.32,,14.9,,83,,0,,,1,17.7,1018.2,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/15/2018 13:38:25,25.5,25.5,25.5,7.3,31.26,,17.7,,79,,0,,,1,29,1016.9,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Partially cloudy
"-15.82445883,-47.91143117",07/15/2018 14:38:25,25.9,25.9,25.9,5.8,27.64,,15.2,,95,,0,,,1,29,1016.3,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Partially cloudy
"-15.82445883,-47.91143117",07/15/2018 15:38:25,25.7,25.7,25.7,5.6,27.59,,13.7,,92,,0,,,1,17.4,1016.5,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/15/2018 16:38:25,24.9,24.9,24.9,6.1,30.02,,13.6,,88,,0,,,1,17.4,1017,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/15/2018 17:38:25,21.7,21.7,21.7,7.5,39.86,,7.9,,113,,0,,,1,17.4,1018,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/15/2018 18:38:25,20.7,20.7,20.7,7.7,43.02,,8.6,,119,,0,,,,0,1018.8,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/15/2018 19:38:25,19.1,19.1,19.1,9.7,54.31,,7.4,,119,,0,,,,0,1019.9,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/15/2018 20:38:25,18.1,18.1,18.1,9.3,56.22,,4.7,,116,,0,,,,0,1020.8,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/15/2018 21:38:25,18.3,18.3,18.3,10,58.33,,8.5,,113,,0,,,,0,1021.9,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/15/2018 22:38:25,17.7,17.7,17.7,10,60.51,,7.5,,115,,0,,,,0,1021.8,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/15/2018 23:38:25,16.3,16.3,16.3,10,66.01,,3.1,,111,,0,,,,0,1021.9,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/16/2018 00:38:25,14.7,14.7,14.7,10,73.16,,2.5,,122,,0,,,,0,1022.1,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/16/2018 01:38:25,14.2,14.2,14.2,9.9,75.48,,2.2,,122,,0,,,,0,1021.9,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/16/2018 02:38:25,14.2,14.2,14.2,9.2,71.75,,2.7,,96,,0,,,,0,1021.6,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
"-15.82445883,-47.91143117",07/16/2018 03:38:25,13.3,13.3,13.3,9.3,76.5,,8.1,,154,,0,,,,0,1021.2,,-15.82445883,-47.91143117,"-15.82445883,-47.91143117",,,Clear
