Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.82160333,-47.97556667",09/05/2020 07:05:35,15.8,15.8,15.8,8.4,61.38,,3.3,,57.0,,0.0,,0.0,10.0,0.0,1020.0,,-15.82160333,-47.97556667,"-15.82160333,-47.97556667","-15.82160333,-47.97556667",,Clear
"-15.82160333,-47.97556667",09/05/2020 08:05:35,19.7,19.7,19.7,8.1,47.08,,15.0,,86.0,,0.0,,0.0,10.0,0.0,1020.3,,-15.82160333,-47.97556667,"-15.82160333,-47.97556667","-15.82160333,-47.97556667",,Clear
"-15.82160333,-47.97556667",09/05/2020 09:05:35,21.6,21.6,21.6,10.0,47.58,,19.6,,70.0,,0.0,,0.0,14.0,0.0,1020.1,,-15.82160333,-47.97556667,"-15.82160333,-47.97556667","-15.82160333,-47.97556667",,Clear
"-15.82160333,-47.97556667",09/05/2020 10:05:35,24.5,24.5,24.5,8.9,37.2,,19.1,,70.0,,0.0,,0.0,10.0,0.0,1019.3,,-15.82160333,-47.97556667,"-15.82160333,-47.97556667","-15.82160333,-47.97556667",,Clear
"-15.82160333,-47.97556667",09/05/2020 11:05:35,26.3,26.3,26.3,6.4,28.27,,18.3,42.5,66.0,,0.0,,0.0,10.0,0.0,1018.5,,-15.82160333,-47.97556667,"-15.82160333,-47.97556667","-15.82160333,-47.97556667",,Clear
"-15.82160333,-47.97556667",09/05/2020 12:05:35,27.0,27.0,27.0,5.9,26.06,26.3,19.9,42.5,78.0,,0.0,,0.0,10.0,0.0,1017.4,,-15.82160333,-47.97556667,"-15.82160333,-47.97556667","-15.82160333,-47.97556667",,Clear
"-15.82160333,-47.97556667",09/05/2020 13:05:35,27.8,27.8,27.8,5.8,24.7,26.8,23.1,44.6,79.0,,0.0,,0.0,10.0,0.0,1016.3,,-15.82160333,-47.97556667,"-15.82160333,-47.97556667","-15.82160333,-47.97556667",,Clear
"-15.82160333,-47.97556667",09/05/2020 14:05:35,28.3,28.3,28.3,6.8,25.81,27.1,16.9,,70.0,,0.0,,0.0,10.0,0.0,1014.9,,-15.82160333,-47.97556667,"-15.82160333,-47.97556667","-15.82160333,-47.97556667",,Clear
"-15.82160333,-47.97556667",09/05/2020 15:05:35,28.1,28.1,28.1,7.0,26.41,27.0,15.8,,52.0,,0.0,,0.0,14.0,0.0,1014.3,,-15.82160333,-47.97556667,"-15.82160333,-47.97556667","-15.82160333,-47.97556667",,Clear
"-15.82160333,-47.97556667",09/05/2020 16:05:35,28.4,28.4,28.4,6.0,24.24,27.2,18.3,,81.0,,0.0,,0.0,10.0,0.0,1013.4,,-15.82160333,-47.97556667,"-15.82160333,-47.97556667","-15.82160333,-47.97556667",,Clear
