Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.79324433,-47.89825433",12/10/2015 05:25:07,19.1,19.1,19.1,18.1,93.93,,0,,,,,,,,0,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Clear
"-15.79324433,-47.89825433",12/10/2015 06:25:07,18.1,18.1,18.1,18.1,100,,5.4,,200,,,,,,0,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Clear
"-15.79324433,-47.89825433",12/10/2015 07:25:07,22.1,22.1,22.1,20.1,88.44,,0,,,,,,,,0,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Clear
"-15.79324433,-47.89825433",12/10/2015 08:25:07,26.1,26.1,26.1,20.1,69.56,,9.4,,240,,,,,,0,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Clear
"-15.79324433,-47.89825433",12/10/2015 09:25:07,27.1,27.1,27.1,19.1,61.62,28.3,7.6,,230,,,,,1,30,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Partially cloudy
"-15.79324433,-47.89825433",12/10/2015 10:25:07,29.1,29.1,29.1,19.1,54.84,30.4,7.6,,130,,,,,1,50,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Partially cloudy
"-15.79324433,-47.89825433",12/10/2015 11:25:07,28.1,28.1,28.1,18.1,54.6,28.9,3.6,,200,,,,,1,90,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Overcast
"-15.79324433,-47.89825433",12/10/2015 12:25:07,25.1,25.1,25.1,18.1,65.16,,11.2,,90,,,,,1,90,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Overcast
"-15.79324433,-47.89825433",12/10/2015 13:25:07,30.1,30.1,30.1,18.1,48.63,30.9,7.6,,40,,,,,1,90,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Overcast
"-15.79324433,-47.89825433",12/10/2015 14:25:07,29.1,29.1,29.1,18.1,51.52,29.9,11.2,,240,,,,,1,50,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Partially cloudy
"-15.79324433,-47.89825433",12/10/2015 15:25:07,30.1,30.1,30.1,16.1,42.85,30.1,5.4,,240,,,,,1,50,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Partially cloudy
"-15.79324433,-47.89825433",12/10/2015 16:25:07,26.1,26.1,26.1,17.1,57.65,,16.6,,280,,,,,1,90,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Overcast
"-15.79324433,-47.89825433",12/10/2015 17:25:07,25.1,25.1,25.1,18.1,65.16,,14.8,,190,,,,,1,50,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Partially cloudy
"-15.79324433,-47.89825433",12/10/2015 18:25:07,24.1,24.1,24.1,18.1,69.17,,7.6,,160,,,,,1,90,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Overcast
"-15.79324433,-47.89825433",12/10/2015 19:25:07,23.1,23.1,23.1,19.1,78.22,,0,,,,,,,1,30,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Partially cloudy
"-15.79324433,-47.89825433",12/10/2015 20:25:07,23.1,23.1,23.1,19.1,78.22,,0,,,,,,,1,90,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Overcast
"-15.79324433,-47.89825433",12/10/2015 21:25:07,22.1,22.1,22.1,20.1,88.44,,5.4,,210,,,,,1,30,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Partially cloudy
"-15.79324433,-47.89825433",12/10/2015 22:25:07,23.1,23.1,23.1,19.1,78.22,,9.4,,170,,,,,1,90,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Overcast
"-15.79324433,-47.89825433",12/10/2015 23:25:07,22.1,22.1,22.1,19.1,83.11,,11.2,,160,,,,,1,50,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Partially cloudy
"-15.79324433,-47.89825433",12/11/2015 00:25:07,21.1,21.1,21.1,19.1,88.36,,9.4,,170,,,,,1,50,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Partially cloudy
"-15.79324433,-47.89825433",12/11/2015 01:25:07,20.1,20.1,20.1,19.1,93.98,,5.4,,200,,,,,1,50,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Partially cloudy
"-15.79324433,-47.89825433",12/11/2015 02:25:07,20.1,20.1,20.1,19.1,93.98,,5.4,,210,,,,,1,90,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Overcast
"-15.79324433,-47.89825433",12/11/2015 03:25:07,20.1,20.1,20.1,18.1,88.27,,7.6,,230,,,,,1,50,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Partially cloudy
"-15.79324433,-47.89825433",12/11/2015 04:25:07,20.1,20.1,20.1,18.1,88.27,,11.2,,250,,,,,1,50,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Partially cloudy
"-15.79324433,-47.89825433",12/11/2015 05:25:07,19.1,19.1,19.1,18.1,93.93,,0,,,,,,,1,50,,,-15.79324433,-47.89825433,"-15.79324433,-47.89825433",,,Partially cloudy
