Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.79272,-47.89727833",10/22/2015 01:28:34,23.1,23.1,23.1,15.1,60.71,,5.4,,270,,,,,,0,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Clear
"-15.79272,-47.89727833",10/22/2015 02:28:34,21.1,21.1,21.1,15.1,68.59,,0,,,,,,,,0,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Clear
"-15.79272,-47.89727833",10/22/2015 03:28:34,23.1,23.1,23.1,15.1,60.71,,3.6,,360,,,,,,0,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Clear
"-15.79272,-47.89727833",10/22/2015 04:28:34,20.1,20.1,20.1,15.1,72.95,,0,,,,,,,,0,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Clear
"-15.79272,-47.89727833",10/22/2015 05:28:34,20.1,20.1,20.1,15.1,72.95,,0,,,,,,,,0,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Clear
"-15.79272,-47.89727833",10/22/2015 06:28:34,19.1,19.1,19.1,15.1,77.62,,3.6,,200,,,,,0.9,0,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Clear
"-15.79272,-47.89727833",10/22/2015 07:28:34,21.1,21.1,21.1,16.1,73.12,,0,,,,,,,1,0,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Clear
"-15.79272,-47.89727833",10/22/2015 08:28:34,26.1,26.1,26.1,16.1,54.1,,0,,,,,,,0.4,0,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Clear
"-15.79272,-47.89727833",10/22/2015 09:28:34,31.1,31.1,31.1,14.1,35.58,30.4,5.4,,230,,,,,1,0,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Clear
"-15.79272,-47.89727833",10/22/2015 10:28:34,33.1,33.1,33.1,12.1,27.88,31.8,7.6,,150,,,,,1,30,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Partially cloudy
"-15.79272,-47.89727833",10/22/2015 11:28:34,32.1,32.1,32.1,13.1,31.5,31.1,13,,180,,,,,1,90,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Overcast
"-15.79272,-47.89727833",10/22/2015 12:28:34,32.1,32.1,32.1,14.1,33.61,31.3,7.6,,170,,,,,1,50,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Partially cloudy
"-15.79272,-47.89727833",10/22/2015 13:28:34,34.1,34.1,34.1,13.1,28.15,33,11.2,,200,,,,,1,50,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Partially cloudy
"-15.79272,-47.89727833",10/22/2015 14:28:34,32.1,32.1,32.1,14.1,33.61,31.3,13,,250,,,,,1,50,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Partially cloudy
"-15.79272,-47.89727833",10/22/2015 15:28:34,32.1,32.1,32.1,13.1,31.5,31.1,16.6,,240,,,,,1,50,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Partially cloudy
"-15.79272,-47.89727833",10/22/2015 16:28:34,33.1,33.1,33.1,14.1,31.77,32.3,11.2,,250,,,,,1,90,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Overcast
"-15.79272,-47.89727833",10/22/2015 17:28:34,29.1,29.1,29.1,13.1,37.4,28.4,14.8,,240,,,,,1,90,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Overcast
"-15.79272,-47.89727833",10/22/2015 18:28:34,29.1,29.1,29.1,14.1,39.91,28.6,3.6,,30,,,,,1,90,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Overcast
"-15.79272,-47.89727833",10/22/2015 19:28:34,26.1,26.1,26.1,14.1,47.57,,9.4,,200,,,,,1,90,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Overcast
"-15.79272,-47.89727833",10/22/2015 20:28:34,25.1,25.1,25.1,16.1,57.41,,3.6,,190,,,,,1,90,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Overcast
"-15.79272,-47.89727833",10/22/2015 21:28:34,25.1,25.1,25.1,17.1,61.17,,7.6,,270,,,,,1,90,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Overcast
"-15.79272,-47.89727833",10/22/2015 22:28:34,25.1,25.1,25.1,16.1,57.41,,18.4,,230,,,,,1,50,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Partially cloudy
"-15.79272,-47.89727833",10/22/2015 23:28:34,24.1,24.1,24.1,15.1,57.16,,14.8,,230,,,,,1,50,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Partially cloudy
"-15.79272,-47.89727833",10/23/2015 00:28:34,23.1,23.1,23.1,14.1,56.92,,9.4,,240,,,,,1,50,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,Partially cloudy
"-15.79272,-47.89727833",10/23/2015 01:28:34,,,,,,,,,,,,,,,,,,-15.79272,-47.89727833,"-15.79272,-47.89727833",,,
