Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.75861533,-47.86926233",11/10/2015 00:02:22,21.1,21.1,21.1,10.1,49.41,,0,,,,,,,,0,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Clear
"-15.75861533,-47.86926233",11/10/2015 01:02:22,19.1,19.1,19.1,10.1,55.92,,3.6,,200,,,,,,0,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Clear
"-15.75861533,-47.86926233",11/10/2015 02:02:22,18.1,18.1,18.1,11.1,63.64,,7.6,,190,,,,,,0,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Clear
"-15.75861533,-47.86926233",11/10/2015 03:02:22,18.1,18.1,18.1,12.1,67.98,,0,,,,,,,,0,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Clear
"-15.75861533,-47.86926233",11/10/2015 04:02:22,18.1,18.1,18.1,10.1,59.54,,9.4,,150,,,,,,0,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Clear
"-15.75861533,-47.86926233",11/10/2015 05:02:22,16.1,16.1,16.1,10.1,67.57,,7.6,,180,,,,,,0,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Clear
"-15.75861533,-47.86926233",11/10/2015 06:02:22,16.1,16.1,16.1,11.1,72.23,,7.6,,290,,,,,,0,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Clear
"-15.75861533,-47.86926233",11/10/2015 07:02:22,16.1,16.1,16.1,10.1,67.57,,0,,,,,,,,0,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Clear
"-15.75861533,-47.86926233",11/10/2015 08:02:22,22.1,22.1,22.1,12.1,53.08,,13,,90,,,,,,0,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Clear
"-15.75861533,-47.86926233",11/10/2015 09:02:22,25.1,25.1,25.1,11.1,41.46,,29.5,,50,,,,,,0,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Clear
"-15.75861533,-47.86926233",11/10/2015 10:02:22,27.1,27.1,27.1,10.1,34.46,26.6,29.5,,60,,,,,,0,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Clear
"-15.75861533,-47.86926233",11/10/2015 11:02:22,28.1,28.1,28.1,11.1,34.74,27.4,25.9,,50,,,,,,0,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Clear
"-15.75861533,-47.86926233",11/10/2015 12:02:22,29.1,29.1,29.1,11.1,32.78,28.1,25.9,,50,,,,,,0,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Clear
"-15.75861533,-47.86926233",11/10/2015 13:02:22,30.1,30.1,30.1,12.1,33.06,29,18.4,,40,,,,,,0,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Clear
"-15.75861533,-47.86926233",11/10/2015 14:02:22,31.1,31.1,31.1,12.1,31.22,29.9,14.8,,70,,,,,1,30,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Partially cloudy
"-15.75861533,-47.86926233",11/10/2015 15:02:22,32.1,32.1,32.1,12.1,29.5,30.8,25.9,,50,,,,,1,30,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Partially cloudy
"-15.75861533,-47.86926233",11/10/2015 16:02:22,31.1,31.1,31.1,11.1,29.23,29.7,24.1,,90,,,,,1,30,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Partially cloudy
"-15.75861533,-47.86926233",11/10/2015 17:02:22,32.1,32.1,32.1,12.1,29.5,30.8,14.8,,90,,,,,1,50,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Partially cloudy
"-15.75861533,-47.86926233",11/10/2015 18:02:22,31.1,31.1,31.1,11.1,29.23,29.7,16.6,,110,,,,,1,30,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Partially cloudy
"-15.75861533,-47.86926233",11/10/2015 19:02:22,29.1,29.1,29.1,11.1,32.78,28.1,13,,100,,,,,1,30,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Partially cloudy
"-15.75861533,-47.86926233",11/10/2015 20:02:22,26.1,26.1,26.1,11.1,39.07,,7.6,,100,,,,,,0,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Clear
"-15.75861533,-47.86926233",11/10/2015 21:02:22,23.1,23.1,23.1,12.1,49.95,,7.6,,110,,,,,,0,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Clear
"-15.75861533,-47.86926233",11/10/2015 22:02:22,23.1,23.1,23.1,10.1,43.74,,7.6,,100,,,,,,0,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Clear
"-15.75861533,-47.86926233",11/10/2015 23:02:22,20.1,20.1,20.1,11.1,56.17,,5.4,,200,,,,,,0,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,Clear
"-15.75861533,-47.86926233",11/11/2015 00:02:22,,,,,,,,,,,,,,,,,,-15.75861533,-47.86926233,"-15.75861533,-47.86926233",,,
