Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.830165,-47.98108333",11/18/2020 00:09:10,22.0,22.0,22.0,19.4,84.99,,2.8,,2.0,,0.0,,0.0,10.0,60.2,1012.3,,-15.830165,-47.98108333,"-15.830165,-47.98108333","-15.830165,-47.98108333",,Partially cloudy
"-15.830165,-47.98108333",11/18/2020 01:09:10,21.2,21.2,21.2,19.4,89.27,,4.2,,308.0,,0.0,,0.0,10.0,67.9,1012.2,,-15.830165,-47.98108333,"-15.830165,-47.98108333","-15.830165,-47.98108333",,Partially cloudy
"-15.830165,-47.98108333",11/18/2020 02:09:10,21.4,21.4,21.4,19.5,88.94,,5.6,,360.0,,0.0,,0.0,10.0,67.9,1012.0,,-15.830165,-47.98108333,"-15.830165,-47.98108333","-15.830165,-47.98108333",,Partially cloudy
"-15.830165,-47.98108333",11/18/2020 03:09:10,21.2,21.2,21.2,19.3,88.72,,8.6,,326.0,,0.0,,0.0,13.7,67.9,1011.5,,-15.830165,-47.98108333,"-15.830165,-47.98108333","-15.830165,-47.98108333",,Partially cloudy
"-15.830165,-47.98108333",11/18/2020 04:09:10,21.1,21.1,21.1,18.6,85.57,,6.7,,305.0,,0.0,,0.0,10.0,67.9,1011.3,,-15.830165,-47.98108333,"-15.830165,-47.98108333","-15.830165,-47.98108333",,Partially cloudy
"-15.830165,-47.98108333",11/18/2020 05:09:10,20.4,20.4,20.4,18.6,89.39,,5.0,,301.0,,0.0,,0.0,10.0,60.2,1011.8,,-15.830165,-47.98108333,"-15.830165,-47.98108333","-15.830165,-47.98108333",,Partially cloudy
"-15.830165,-47.98108333",11/18/2020 06:09:10,20.4,20.4,20.4,18.6,89.39,,3.8,,261.0,,0.0,,0.0,10.0,0.0,1012.3,,-15.830165,-47.98108333,"-15.830165,-47.98108333","-15.830165,-47.98108333",,Clear
"-15.830165,-47.98108333",11/18/2020 07:09:10,21.4,21.4,21.4,18.6,84.27,,3.9,,339.0,,0.0,,0.0,10.0,0.0,1012.4,,-15.830165,-47.98108333,"-15.830165,-47.98108333","-15.830165,-47.98108333",,Clear
"-15.830165,-47.98108333",11/18/2020 08:09:10,22.2,22.2,22.2,18.6,80.04,,5.8,,319.0,,0.0,,0.0,10.0,60.2,1012.7,,-15.830165,-47.98108333,"-15.830165,-47.98108333","-15.830165,-47.98108333",,Partially cloudy
"-15.830165,-47.98108333",11/18/2020 09:09:10,24.8,24.8,24.8,19.0,70.13,,7.6,,310.0,,0.0,,0.0,13.7,77.7,,,-15.830165,-47.98108333,"-15.830165,-47.98108333","-15.830165,-47.98108333",,Overcast
