Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.82163,-47.97559",06/07/2020 04:16:03,16.1,16.1,16.1,15.5,96.73,,2,,54,,0,,,1,0,1021.2,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/07/2020 05:16:03,14.7,14.7,14.7,13.5,93,,2.4,,100,,0,,,1,0,1022.5,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/07/2020 06:16:03,15.3,15.3,15.3,14.3,94.24,,3.7,,90,,0,,,1,0,1022.5,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/07/2020 07:16:03,18.2,18.2,18.2,15.6,84.8,,5.8,,158,,0,,,1,0,1022.1,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/07/2020 08:16:03,20.5,20.5,20.5,15.5,73.39,,6.2,,93,,0,,,1,0,1022.2,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/07/2020 09:16:03,21.8,21.8,21.8,16.3,70.69,,12.6,,72,,0,,,1,0,1021.8,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/07/2020 10:16:03,23.3,23.3,23.3,15.5,61.55,,12.6,,70,,0,,,1,0,1021,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/07/2020 11:16:03,24.6,24.6,24.6,14.9,54.85,,8.8,,58,,0,,,1,0,1019.4,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/07/2020 12:16:03,26.2,26.2,26.2,15,50.13,,11.4,,84,,0,,,1,0,1017.8,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/07/2020 13:16:03,26.4,26.4,26.4,13.1,43.86,,13.2,,78,,0,,,1,0,1016.9,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/07/2020 14:16:03,27.1,27.1,27.1,12.7,40.94,27,11.7,,62,,0,,,1,0,1016.4,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/07/2020 15:16:03,27.1,27.1,27.1,12.8,41.37,27,10,,116,,0,,,1,0,1016.1,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/07/2020 16:16:03,26.2,26.2,26.2,13.9,46.51,,11.4,,113,,0,,,1,0,1016.6,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/07/2020 17:16:03,24.2,24.2,24.2,14.1,53.35,,9.9,,100,,0,,,1,0,1017.7,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/07/2020 18:16:03,23.2,23.2,23.2,14.9,59.67,,10.7,,109,,0,,,1,0,1018.4,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/07/2020 19:16:03,22.1,22.1,22.1,15.3,65.35,,10.5,,114,,0,,,1,0,1019.8,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/07/2020 20:16:03,21.2,21.2,21.2,16.3,73.34,,9.6,,119,,0,,,1,0,1020.4,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/07/2020 21:16:03,20.3,20.3,20.3,16.4,78.6,,11.2,,118,,0,,,1,0,1021.1,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/07/2020 22:16:03,19.5,19.5,19.5,15.9,79.7,,8.9,,113,,0,,,1,0,1021.2,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/07/2020 23:16:03,17.2,17.2,17.2,15.3,88.26,,4.2,,203,,0,,,1,0,1022.7,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/08/2020 00:16:03,17,17,17,16,93.84,,1.8,,220,,0,,,1,0,,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/08/2020 01:16:03,16,16,16,15,93.79,,3.6,,280,,0,,,1,0,,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/08/2020 02:16:03,15.7,15.7,15.7,14.7,94.26,,4.5,,174,,0,,,1,0,1021.7,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/08/2020 03:16:03,16,16,16,14.9,92.83,,3.1,,122,,0,,,1,0,1020.8,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
"-15.82163,-47.97559",06/08/2020 04:16:03,14.6,14.6,14.6,13.6,93.73,,2.9,,168,,0,,,1,0,1022.1,,-15.82163,-47.97559,"-15.82163,-47.97559",,,Clear
